,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
8074,201301JI40354,1,1,1,1,6,3,0,0,0,0,0,9,1
8240,201301JI40514,2,1,1,1,6,2,0,0,0,0,0,5,1
8508,201301KD50017,2,1,1,1,8,3,0,0,0,0,0,21,1
8588,201301KD50093,1,1,1,2,6,3,0,0,0,0,0,9,1
8617,201301KD50125,1,1,1,1,8,3,0,0,0,0,0,9,1
8636,201301KD50139,2,1,2,1,3,3,0,0,1,0,0,9,-1
8637,201301KD50139,2,2,2,2,2,3,0,0,2,0,0,9,1
8658,201301KD50172,1,1,1,2,9,3,0,0,0,0,0,9,1
8671,201301KD50185,2,1,1,2,6,3,0,0,0,0,0,9,1
8695,201301KD50202,1,1,1,1,5,3,0,0,0,0,0,9,1
8706,201301KD50212,1,1,1,2,6,3,0,0,0,0,0,9,1
8707,201301KD50212,1,2,2,1,6,3,0,0,1,0,0,9,1
8713,201301KD50214,1,1,1,1,7,3,0,0,0,0,0,19,-1
8731,201301KD50230,1,1,1,1,8,2,0,0,0,0,0,9,-1
8732,201301KD50230,2,2,1,2,6,2,0,0,0,0,0,9,1
8742,201301KD50240,2,1,1,2,6,3,0,0,0,0,0,9,3
8745,201301KD50243,1,1,1,2,7,3,0,0,0,0,0,9,3
8746,201301KD50243,2,2,1,1,7,3,0,0,0,0,0,9,1
8775,201301KD50270,2,1,1,2,6,3,0,0,0,0,0,9,1
8882,201301KD50359,2,1,1,1,8,3,0,0,0,0,0,9,1
8934,201301KD50412,2,1,1,2,9,3,0,0,0,0,0,9,1
8972,201301KD50447,1,1,1,1,6,3,0,0,0,0,0,9,-1
8985,201301KD50459,2,1,1,1,6,3,0,0,0,0,0,9,-1
8988,201301KD50462,2,1,1,1,6,3,0,0,0,0,0,9,1
9006,201301KD50474,1,1,1,1,8,3,0,0,0,0,0,9,2
9007,201301KD50474,2,2,1,1,6,2,0,0,0,0,0,9,1
9015,201301KD50484,1,1,2,2,8,3,0,0,1,0,0,9,1
9101,201301KD50571,1,1,1,1,8,3,0,0,0,0,0,9,1
9107,201301KD50579,1,1,1,2,5,3,0,0,0,0,0,9,1
9116,201301KD50591,1,1,1,1,8,3,0,0,0,0,0,21,-1
9132,201301KD50607,1,1,2,2,6,3,0,0,1,0,0,9,-1
9133,201301KD50607,1,2,2,1,2,3,0,0,2,0,0,9,-1
17214,201301SX20165,1,1,1,1,5,3,0,0,0,0,0,9,1
17234,201301SX20188,2,1,1,2,5,3,0,0,0,0,0,9,1
17237,201301SX20192,1,1,2,1,8,3,0,0,1,0,0,9,1
17239,201301SX20195,1,1,1,2,4,3,0,0,0,0,0,9,1
17256,201301SX20213,2,2,1,2,7,3,0,0,0,0,0,9,-1
17257,201301SX20213,3,1,1,1,6,3,0,0,0,0,0,19,-1
17272,201301SX20227,1,1,1,1,5,3,0,0,0,0,0,9,1
17279,201301SX20233,1,1,1,1,8,3,0,0,0,0,0,9,1
17297,201301SX20243,2,1,2,2,7,3,0,0,0,0,0,10,1
17447,201301SX20392,1,1,1,1,6,3,0,0,0,0,0,9,1
17466,201301SX20407,1,1,1,2,6,3,0,0,0,0,0,9,1
17697,201301SX20624,1,1,1,2,7,3,0,0,0,0,0,10,1
17712,201301SX20638,1,1,1,2,4,3,0,0,0,0,0,9,1
17755,201301SX20679,1,1,1,1,6,3,0,0,0,0,0,9,1
17767,201301SX20691,1,1,1,1,6,3,0,0,0,0,0,9,1
17768,201301SX20691,1,2,2,1,6,3,0,0,1,0,0,9,1
17769,201301SX20691,1,3,2,1,10,3,0,0,2,0,0,9,1
17770,201301SX20691,1,4,2,1,6,3,0,0,2,0,0,9,1
17825,201301SX20743,2,1,1,2,7,3,0,0,0,0,0,9,1
17862,201301SX20778,2,1,2,2,6,3,0,0,1,0,0,9,-1
17911,201301SX20837,1,1,1,2,6,3,0,0,0,0,0,9,2
17966,201301SX20888,1,1,1,1,5,3,0,0,0,0,0,5,1
17998,201301SX20921,1,1,1,1,5,3,0,0,0,0,0,9,1
17999,201301SX20921,1,4,2,2,4,3,0,0,2,0,0,9,1
18000,201301SX20921,2,2,1,1,6,3,0,0,0,0,0,9,1
18001,201301SX20921,3,3,1,1,7,3,0,0,0,0,0,9,-1
18030,201301SX20959,1,1,1,2,6,3,0,0,0,0,0,9,1
18275,201301TA00036,1,1,1,1,6,3,0,0,0,0,0,9,-1
18540,201301TD00134,1,1,1,1,9,1,0,0,0,0,0,21,1
19084,201301TX20017,1,1,1,1,8,3,0,0,0,0,0,5,1
19093,201301TX20025,2,2,1,1,-1,3,0,0,0,0,0,19,1
19094,201301TX20025,3,1,1,1,6,3,0,0,0,0,0,9,1
19136,201301TX20064,1,2,1,2,-1,3,0,0,0,0,0,9,1
19137,201301TX20064,3,1,1,1,6,3,0,0,0,0,0,19,1
19138,201301TX20065,2,1,2,2,7,3,0,0,0,0,0,10,1
19139,201301TX20065,2,2,2,2,4,3,0,0,0,0,0,10,1
19140,201301TX20065,2,3,2,2,1,3,0,0,0,0,0,10,1
19147,201301TX20076,1,1,1,2,6,3,0,0,0,0,0,9,1
19148,201301TX20077,2,1,1,1,-1,3,0,0,0,0,0,3,-1
19152,201301TX20082,1,1,3,1,8,3,9,9,0,0,2,0,1
19156,201301TX20084,1,1,2,2,7,3,0,0,1,0,0,9,1
19159,201301TX20087,1,1,2,1,10,3,0,0,2,0,0,9,-1
19160,201301TX20087,1,2,2,2,9,3,0,0,2,0,0,9,-1
19161,201301TX20087,2,3,1,2,6,3,0,0,0,0,0,9,1
19164,201301TX20090,1,1,1,2,6,3,0,0,0,0,0,9,1
19166,201301TX20092,1,1,1,2,7,3,0,0,0,0,0,9,1
19167,201301TX20092,2,2,2,1,5,3,0,0,1,0,0,9,1
19174,201301TX20099,1,1,1,1,5,3,0,0,0,0,0,3,1
19192,201301TX20119,2,1,1,1,5,3,0,0,0,0,0,9,1
19193,201301TX20120,1,1,2,2,-1,3,0,0,1,0,0,9,-1
19307,201301TX20226,2,1,2,2,-1,3,0,0,0,4,0,11,-1
19308,201301TX20226,2,2,2,2,9,3,0,0,0,4,0,11,-1
19309,201301TX20226,3,3,2,2,6,2,0,0,2,0,0,9,1
19350,201301TX20269,1,1,1,1,7,3,0,0,0,0,0,9,1
19352,201301TX20271,2,1,1,1,6,3,0,0,0,0,0,4,1
19355,201301TX20274,1,1,1,1,7,3,0,0,0,0,0,9,3
19369,201301TX20287,2,1,1,2,8,3,0,0,0,0,0,9,3
19387,201301TX20310,1,1,1,1,6,3,0,0,0,0,0,9,1
19396,201301TX20318,1,1,1,1,7,3,0,0,0,0,0,9,3
19431,201301TX20350,1,1,1,1,5,3,0,0,0,0,0,8,1
19464,201301TX20388,2,1,1,1,8,3,0,0,0,0,0,5,-1
19515,201301TX20438,1,1,1,1,6,3,0,0,0,0,0,9,-1
19520,201301TX20444,1,1,1,1,9,3,0,0,0,0,0,5,-1
19567,201301TX20487,1,1,1,2,5,3,0,0,0,0,0,9,1
19568,201301TX20487,1,2,2,1,6,3,0,0,1,0,0,9,-1
19575,201301TX20493,1,1,2,2,8,3,0,0,1,0,0,9,1
19577,201301TX20495,1,2,1,2,7,3,0,0,0,0,0,9,1
19578,201301TX20495,1,3,2,2,-1,3,0,0,1,0,0,9,1
19579,201301TX20495,2,1,1,1,7,3,0,0,0,0,0,8,1
19598,201301TX20515,1,1,1,2,6,3,0,0,0,0,0,9,1
19599,201301TX20515,1,3,2,1,9,3,0,0,1,0,0,9,1
19600,201301TX20515,2,2,1,1,7,3,0,0,0,0,0,9,1
19604,201301TX20518,1,1,2,2,2,3,0,0,2,0,0,9,-1
19613,201301TX20524,1,1,1,1,6,3,0,0,0,0,0,5,1
19656,201301TX20560,2,1,1,1,8,3,0,0,0,0,0,9,3
