,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
7744,201501ID60010,2,1,1,1,40,7,3,0,0,0,0,0,9,1
7745,201501ID60010,2,2,2,2,62,9,3,0,0,2,0,0,9,1
7746,201501ID60010,2,3,2,1,35,6,3,0,0,1,0,0,9,1
7782,201501ID60072,1,1,1,2,20,4,3,0,0,0,0,0,9,1
7792,201501ID60084,1,1,1,2,55,8,3,0,0,0,0,0,9,1
7799,201501ID60089,2,1,1,1,22,5,3,0,0,0,0,0,9,1
9301,201501JI40668,2,1,1,2,71,10,2,0,0,0,0,0,9,1
9318,201501JI40680,1,1,1,2,25,5,3,0,0,0,0,0,9,1
9430,201501JI40770,1,1,1,1,35,6,3,0,0,0,0,0,9,1
9504,201501JI40854,1,1,1,1,19,4,3,0,0,0,0,0,9,1
9505,201501JI40854,1,2,2,2,-1,-1,3,0,0,1,0,0,9,-1
9506,201501JI40854,1,3,2,1,-1,-1,3,0,0,2,0,0,9,-1
9607,201501KD50051,2,1,1,2,41,7,3,0,0,0,0,0,9,1
9612,201501KD50056,1,1,1,2,45,7,2,0,0,0,0,0,9,1
9701,201501KD50139,1,1,1,1,36,7,3,0,0,0,0,0,9,-1
9713,201501KD50149,1,1,1,2,26,6,3,0,0,0,0,0,19,3
9737,201501KD50169,1,1,1,2,37,7,3,0,0,0,0,0,9,1
9748,201501KD50178,1,2,1,2,49,8,3,0,0,0,0,0,9,-1
9749,201501KD50178,1,3,2,2,22,5,3,0,0,1,0,0,9,1
9750,201501KD50178,2,1,1,2,23,5,3,0,0,0,0,0,9,1
9751,201501KD50178,2,4,2,2,-1,-1,3,0,0,1,0,0,9,-1
9752,201501KD50178,2,5,2,1,-1,-1,3,0,0,2,0,0,9,1
9753,201501KD50178,3,6,1,1,22,5,3,0,0,0,0,0,9,1
9783,201501KD50202,1,1,1,1,50,8,3,0,0,0,0,0,9,1
9861,201501KD50273,1,1,1,2,46,8,3,0,0,0,0,0,9,1
9862,201501KD50273,1,2,2,2,22,5,3,0,0,1,0,0,9,1
9909,201501KD50313,1,1,2,1,56,9,3,0,0,1,0,0,9,-1
9954,201501KD50345,1,1,1,1,58,9,3,0,0,0,0,0,21,-1
10003,201501KD50386,1,1,1,2,33,6,3,0,0,0,0,0,9,2
10004,201501KD50386,1,2,2,1,-1,-1,3,0,0,1,0,0,9,-1
10033,201501KD50414,1,1,1,2,47,8,3,0,0,0,0,0,9,1
10034,201501KD50414,1,2,2,2,21,5,3,0,0,1,0,0,9,1
10045,201501KD50423,1,1,1,2,52,8,3,0,0,0,0,0,9,-1
10048,201501KD50426,2,1,1,1,31,6,3,0,0,0,0,0,9,1
10118,201501KD50483,2,1,1,2,31,6,3,0,0,0,0,0,5,1
10122,201501KD50486,3,1,1,1,23,5,3,0,0,0,0,0,19,-1
10154,201501KD50514,3,1,1,1,40,7,3,0,0,0,0,0,9,1
10155,201501KD50514,5,2,1,1,70,10,3,0,0,0,0,0,9,1
10156,201501KD50514,5,3,2,2,-1,-1,3,0,0,1,0,0,9,1
10170,201501KD50523,1,1,1,1,48,8,3,0,0,0,0,0,9,1
10171,201501KD50523,2,2,1,1,60,9,3,0,0,0,0,0,9,-1
10196,201501KD50547,1,1,1,2,45,7,3,0,0,0,0,0,9,1
10223,201501KD50574,2,1,1,1,29,6,3,0,0,0,0,0,5,1
10243,201501KD50596,1,1,1,1,37,7,3,0,0,0,0,0,9,-1
10244,201501KD50596,1,2,2,1,30,6,3,0,0,1,0,0,9,1
10257,201501KD50609,1,1,1,1,41,7,3,0,0,0,0,0,9,1
10283,201501KD50632,1,1,1,1,58,9,3,0,0,0,0,0,9,-1
10284,201501KD50632,1,3,2,1,20,4,3,0,0,1,0,0,9,1
10285,201501KD50632,2,2,1,1,51,8,3,0,0,0,0,0,19,-1
10286,201501KD50632,4,4,1,1,40,7,3,0,0,0,0,0,19,-1
10295,201501KD50638,2,1,1,2,52,8,3,0,0,0,0,0,9,1
10336,201501KD50674,1,1,1,2,27,6,3,0,0,0,0,0,9,1
10342,201501KD50684,2,1,1,2,50,8,3,0,0,0,0,0,9,1
10346,201501KD50688,1,1,1,2,28,6,3,0,0,0,0,0,9,1
10357,201501KD50695,2,1,1,2,44,7,3,0,0,0,0,0,9,1
19500,201501SX20028,1,1,1,1,-1,-1,3,0,0,0,0,0,9,1
19501,201501SX20028,2,2,1,2,46,8,3,0,0,0,0,0,9,1
19502,201501SX20028,2,3,2,2,-1,-1,3,0,0,1,0,0,9,1
19503,201501SX20028,3,4,1,1,49,8,3,0,0,0,0,0,9,1
19592,201501SX20118,2,1,1,1,48,8,3,0,0,0,0,0,9,1
19825,201501SX20371,1,1,1,1,28,6,3,0,0,0,0,0,9,1
19844,201501SX20385,1,1,2,1,20,4,3,0,0,2,0,0,9,-1
19845,201501SX20385,1,2,2,1,13,3,3,0,0,1,0,0,9,2
20027,201501SX20582,1,1,1,1,33,6,3,0,0,0,0,0,8,1
20111,201501SX20657,1,1,1,1,45,7,3,0,0,0,0,0,9,1
20192,201501SX20741,1,1,2,1,24,5,3,0,0,2,0,0,9,1
20193,201501SX20741,1,2,2,1,25,5,3,0,0,1,0,0,9,1
20205,201501SX20751,1,1,1,1,69,10,3,0,0,0,0,0,9,1
