,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Number_of_KIS
Location_Easting_OSGR,1.0,-0.624363912241,0.999480420081,-0.626401171447,-0.0243352725367,0.0673291532938,-0.0293431834772,-0.0220892652712,-0.00522635894602,-0.0310011810599,0.00849050229478,-0.136350805541,-0.0235104295236,0.0559102556058,-0.0422851505238,-0.0127165836472,-0.00173520502553,-0.0400304317069,,0.0440319228155,0.0030862390104,-0.0721301928743,-0.0186609621472,0.0333312528539,0.00244141582954,0.032494684859,0.00729310344092,-0.00900352599091
Location_Northing_OSGR,-0.624363912241,1.0,-0.633980940732,0.999982769382,-0.10186237316,-0.0573464627224,0.0171292643989,-0.0217027168474,-0.0155359976549,-0.160636185977,0.20871315094,0.252683839595,0.0192571113877,-0.125001690059,0.0506596400762,0.045964851133,0.0234990143617,0.027182326539,,-0.0406576454161,-0.00708417633794,0.0302246468904,0.057290791895,-0.00591556496522,0.00632981047704,-0.0571479470337,0.0153895601825,0.0368367761677
Longitude,0.999480420081,-0.633980940732,1.0,-0.63588957252,-0.043191394529,0.0672276547856,-0.0293672612737,-0.0204067600388,-0.00569787621258,-0.0469161521539,0.0106062151579,-0.136736477511,-0.0246867439113,0.0598388546508,-0.0442561089684,-0.0139462783341,-0.00473829529002,-0.0400558127639,,0.0429530819274,0.00437805507208,-0.0717671265695,-0.0199303028419,0.0332194653205,0.00282938701022,0.0322736155016,0.00354405003404,-0.0103640545257
Latitude,-0.626401171447,0.999982769382,-0.63588957252,1.0,-0.104849378145,-0.0573495200636,0.0174201757708,-0.0215829758013,-0.0156049913693,-0.163363736774,0.208823732599,0.253080946007,0.0195339778435,-0.124691127288,0.0504480691439,0.0457392930629,0.022749883284,0.0274774237815,,-0.0408268369225,-0.00738960383605,0.030225504615,0.0571378246451,-0.00586040083326,0.00643722367628,-0.0573316414843,0.0149550640294,0.0364263904052
Police_Force,-0.0243352725367,-0.10186237316,-0.043191394529,-0.104849378145,1.0,-0.00899709037444,-0.017252434523,0.0138054122825,0.0445658924186,0.964604166395,0.00109628415876,-0.125845716426,-0.00100845522126,-0.0609055755955,0.042628371593,0.0128509343967,0.0621543289205,-0.0559123826677,,0.0207414692438,0.0177275952725,-0.0571999198242,0.0214251338565,-0.0101759368371,-0.0435890531453,0.0550428193132,0.110719306713,0.0409781733757
Accident_Severity,0.0673291532938,-0.0573464627224,0.0672276547856,-0.0573495200636,-0.00899709037444,1.0,-0.00617131121184,-0.0171539839961,-0.0381126354022,-0.00882550094811,-0.0372519590945,-0.0560917923572,0.0590569489077,0.0291944015696,0.0541197527306,0.0628995864876,0.0657484400645,0.0402374301887,,0.0145049452162,-0.150949831532,0.0186199587344,-0.0287839306781,0.0014086784697,-0.0246817993176,0.0473446199121,0.0234855696151,-0.201624840554
Number_of_Vehicles,-0.0293431834772,0.0171292643989,-0.0293672612737,0.0174201757708,-0.017252434523,-0.00617131121184,1.0,0.20821243485,0.00242819482399,-0.0239550471951,-0.0803680394862,0.0244422907244,-0.15970585095,-0.0142933071932,-0.0406799621233,-0.0451056936887,-0.0616166561009,-0.0339833162993,,0.0457419253613,-0.00411729731107,-0.0229899289664,0.0154333115004,0.0273233349343,0.0704534259219,0.0167146185701,0.0037200434831,0.191061244858
Number_of_Casualties,-0.0220892652712,-0.0217027168474,-0.0204067600388,-0.0215829758013,0.0138054122825,-0.0171539839961,0.20821243485,1.0,-0.00621500570374,0.0226978005734,-0.0479948075923,-0.0109400612706,-0.085803277824,0.0393811142876,-0.0334494298049,-0.0351578838496,-0.0384354031429,-0.0399501933331,,-0.0152683526108,-0.0239938448789,-0.0283515450669,0.00706313131324,0.0117856602834,0.0127165396024,0.0213475489853,-0.032779056487,0.435449059534
Day_of_Week,-0.00522635894602,-0.0155359976549,-0.00569787621258,-0.0156049913693,0.0445658924186,-0.0381126354022,0.00242819482399,-0.00621500570374,1.0,0.0443264907003,0.000357496127515,0.038206442354,-0.0147733412161,0.00635052251098,0.021308077167,0.0122553910518,-0.00605643912947,-0.0356586892095,,-0.0212975549799,0.0458070854903,0.0410447426259,0.101929217599,-0.00482616668482,0.0176554774278,0.0370218896895,0.0370381244746,-0.0443614792597
Local_Authority_(District),-0.0310011810599,-0.160636185977,-0.0469161521539,-0.163363736774,0.964604166395,-0.00882550094811,-0.0239550471951,0.0226978005734,0.0443264907003,1.0,-0.0097661601652,-0.131054800223,-0.00182974540594,-0.0531714840798,0.0447479788777,0.0183644810655,0.070929169879,-0.0534467160714,,0.0288019602387,0.0137952258469,-0.0492204616442,0.0186218295631,-0.0118964733049,-0.0537447273137,0.0655594567893,0.110713709948,0.0361321149573
1st_Road_Class,0.00849050229478,0.20871315094,0.0106062151579,0.208823732599,0.00109628415876,-0.0372519590945,-0.0803680394862,-0.0479948075923,0.000357496127515,-0.0097661601652,1.0,0.074222222777,-0.00477095229749,-0.108818838756,0.0369137880741,0.0527894041865,0.0538630983941,0.0466161864962,,-0.0104571222887,0.0706086332682,-0.0145396601747,0.0304127932658,-0.0538249754544,-0.0390535464639,-0.0972385027348,0.00132090250692,-0.0121723117643
1st_Road_Number,-0.136350805541,0.252683839595,-0.136736477511,0.253080946007,-0.125845716426,-0.0560917923572,0.0244422907244,-0.0109400612706,0.038206442354,-0.131054800223,0.074222222777,1.0,0.0102352493063,-0.194932055035,-0.0122076116939,-0.00632003522579,-0.00596649877952,0.0176548242829,,-0.00477451701482,-0.0766141293251,0.014148427312,0.0837831518966,-0.045954021183,-0.0386011801366,-0.131816923362,-0.0192321725884,0.00152582758812
Road_Type,-0.0235104295236,0.0192571113877,-0.0246867439113,0.0195339778435,-0.00100845522126,0.0590569489077,-0.15970585095,-0.085803277824,-0.0147733412161,-0.00182974540594,-0.00477095229749,0.0102352493063,1.0,0.00093869424236,0.223829758733,0.243235783938,0.233849329783,0.109340369538,,-0.0787517305319,-0.0715604949511,0.0613529782414,0.0105459912049,-0.00275643662994,-0.060749606788,-0.00418440172019,-0.0591164291265,-0.0748888431369
Speed_limit,0.0559102556058,-0.125001690059,0.0598388546508,-0.124691127288,-0.0609055755955,0.0291944015696,-0.0142933071932,0.0393811142876,0.00635052251098,-0.0531714840798,-0.108818838756,-0.194932055035,0.00093869424236,1.0,-0.117112651113,-0.0867965261743,-0.121384661357,-0.0381972573759,,-0.0760822207711,0.0409730472281,0.0498804346198,0.0191463339448,-0.187696895767,0.000517332566683,0.155362215343,-0.0607940473383,0.0407631922128
Junction_Detail,-0.0422851505238,0.0506596400762,-0.0442561089684,0.0504480691439,0.042628371593,0.0541197527306,-0.0406799621233,-0.0334494298049,0.021308077167,0.0447479788777,0.0369137880741,-0.0122076116939,0.223829758733,-0.117112651113,1.0,0.922822467624,0.769347335332,0.110111363514,,0.0120890623465,-0.0315529042739,-0.0133970424015,0.025101626579,0.152947332363,0.0142413938935,-0.0817632103521,0.0322277534304,-0.0380748089106
Junction_Control,-0.0127165836472,0.045964851133,-0.0139462783341,0.0457392930629,0.0128509343967,0.0628995864876,-0.0451056936887,-0.0351578838496,0.0122553910518,0.0183644810655,0.0527894041865,-0.00632003522579,0.243235783938,-0.0867965261743,0.922822467624,1.0,0.843849068159,0.299068430501,,0.110394961791,-0.0238566036738,-0.021707827924,0.0143774788538,0.140439389783,-0.00394089800292,-0.0776938716367,0.00187116131514,-0.0457254385772
2nd_Road_Class,-0.00173520502553,0.0234990143617,-0.00473829529002,0.022749883284,0.0621543289205,0.0657484400645,-0.0616166561009,-0.0384354031429,-0.00605643912947,0.070929169879,0.0538630983941,-0.00596649877952,0.233849329783,-0.121384661357,0.769347335332,0.843849068159,1.0,0.328390082247,,0.142279603518,-0.0311709955724,-0.0134069130884,0.00228478115175,0.05455224463,-0.031867311848,-0.0913047124829,0.0791923006102,-0.0366537820598
2nd_Road_Number,-0.0400304317069,0.027182326539,-0.0400558127639,0.0274774237815,-0.0559123826677,0.0402374301887,-0.0339833162993,-0.0399501933331,-0.0356586892095,-0.0534467160714,0.0466161864962,0.0176548242829,0.109340369538,-0.0381972573759,0.110111363514,0.299068430501,0.328390082247,1.0,,0.186728195763,-0.00988023050014,-0.0360481905895,-0.0282961519482,-0.0118465389134,-0.022762628279,-0.0308756077066,0.00227108946567,-0.0329229386135
Pedestrian_Crossing-Human_Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian_Crossing-Physical_Facilities,0.0440319228155,-0.0406576454161,0.0429530819274,-0.0408268369225,0.0207414692438,0.0145049452162,0.0457419253613,-0.0152683526108,-0.0212975549799,0.0288019602387,-0.0104571222887,-0.00477451701482,-0.0787517305319,-0.0760822207711,0.0120890623465,0.110394961791,0.142279603518,0.186728195763,,1.0,-0.0290316773304,-0.0134977931038,-0.0218332824188,-0.00758057029523,-0.00828926555604,0.015084404215,-0.00556406271041,-0.012583645486
Light_Conditions,0.0030862390104,-0.00708417633794,0.00437805507208,-0.00738960383605,0.0177275952725,-0.150949831532,-0.00411729731107,-0.0239938448789,0.0458070854903,0.0137952258469,0.0706086332682,-0.0766141293251,-0.0715604949511,0.0409730472281,-0.0315529042739,-0.0238566036738,-0.0311709955724,-0.00988023050014,,-0.0290316773304,1.0,0.136383438439,0.114581050537,0.0146561785335,0.124100785988,0.0151016033172,-0.0568876437622,0.0241150903262
